YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
,,"May 19, 2019",,,"Boko Haram, herdsmen fighting to islamise Nigeria, Africa –Obasanjo",https://punchng.com/bharam-herdsmen-fighting-to-islamise-nigeria-africa-obasanjo/
,,"May 19, 2019",,"Imeko, Ogun State","Herdsmen occupy Odu’a tomato factory, plotting attack –Ogun monarch",https://punchng.com/herdsmen-occupy-oodua-tomato-factory-plotting-attack-ogun-monarch/
,,"May 16, 2019","May 5, 2019",Ikoyi town of the Ibadan-Ife Expressway,Suspected herdsmen attack travellers in Osun,https://punchng.com/suspected-herdsmen-attack-travellers-in-osun/
,,"May 12, 2019","May 9, 2019","Murbai,  Kisbap, Sembe and Yawai-Abbare villages of the Ardo-Kola and Jalingo Local Government areas of Taraba State",Residents flee Taraba villages over rumoured herdsmen attack,https://punchng.com/residents-flee-taraba-villages-over-rumoured-herdsmen-attack/
,,"May 8, 2019",,"Murbai,  Kisbap, Sembe, and Yawai – Abbare villages of Ardo-Kola and Jalingo Local Government Areas in Taraba State","Eleven killed, many displaced as herdsmen attack Taraba villages",https://punchng.com/eleven-killed-many-displaced-as-herdsmen-attack-taraba-villages/
,,"May 8, 2019",,"University of Nigeria, Nsukka","Herdsmen displaced 680,000, destroyed N400bn property — Ortom",https://punchng.com/herdsmen-displaced-680000-destroyed-n400bn-property-ortom/
,,"May 7, 2019",,,FG begins policy to tackle farmers-herdsmen clashes,https://punchng.com/fg-begins-policy-to-tackle-farmers-herdsmen-clashes/
,,"May 4, 2019","April 9, 2019",Miango Community in Bassa Local Government Area of Plateau State,Plateau community cries out over herdsmen killings,https://punchng.com/plateau-community-cries-out-over-herdsmen-killings/
,,"May 4, 2019","May 2, 2019","Girei Local Government, Adamawa",Fulani herdsmen kill six in Adamawa,https://punchng.com/fulani-herdsmen-kill-six-in-adamawa/
,,"May 4, 2019","April 14, 2019","Mante, Nidan and Numa villages in Akwanga Local Government Area of Nasarawa",It would have been better if we were dead than to live like this –Survivors of suspected herdsmen attacks on Nasarawa communities,https://punchng.com/it-would-have-been-better-if-we-were-dead-than-to-live-like-this-survivors-of-suspected-herdsmen-attacks-on-nasarawa-communities/
,,"May 3, 2019","May 2, 2019",Imeko-Afon Local Government Area of Ogun State,"Four feared killed as herdsmen, farmers clash in Ogun",https://punchng.com/four-feared-killed-as-herdsmen-farmers-clash-in-ogun/
,,"May 1, 2019",,Bassa Local Government Area of Plateau state,"Plateau killings: Police confirm two herdsmen missing, 319 cows killed in reprisal",https://punchng.com/plateau-killings-police-confirm-two-herdsmen-missing-319-cows-killed-in-reprisal/
,,"April 23, 2019","April 22, 2019",Anambra West  Local Government Area of  Anambra State,Herdsmen killing us and raping our wives –Anambra youths,https://punchng.com/herdsmen-killing-us-and-raping-our-wives-anambra-youths/
,,"April 16, 2019",,Numa village in the Andaha community of the Akwanga Local Government Area of Nasarawa State.,"Herdsmen kill 16 in Nasarawa during naming, 67 Taraba residents kidnapped",https://punchng.com/herdsmen-kill-16-in-nasarawa-during-naming-67-taraba-residents-kidnapped/
,,"April 16, 2019",,Bassa Local Government Area of Plateau State,Suspected herdsmen kill two in fresh Plateau attack,https://punchng.com/suspected-herdsmen-kill-two-in-fresh-plateau-attack/
,,"April 14, 2019","April 12, 2019","Uyo, Akwa Ibom State","A’Ibom Christians, Muslims meet to prevent farmers/herdsmen’s clash",https://punchng.com/aibom-christians-muslims-meet-to-prevent-farmers-herdsmens-clash/
,,"April 13, 2019","March 31, 2019.",,Abia First Lady to pay medical bills of woman attacked by herdsmen after PUNCH report,https://punchng.com/abia-first-lady-to-pay-medical-bills-of-woman-attacked-by-herdsmen-after-punch-report/
,,"April 12, 2019",,,"Reps summon Buhari over killings by herdsmen, bandits",https://punchng.com/reps-summon-buhari-over-killings-by-herdsmen-bandits/
,,"April 12, 2019","March 31, 2019","Peoples Road, Ogbor Hill, Aba, Abia State","Abia woman attacked by suspected herdsmen needs N60,000 for treatment",https://punchng.com/abia-woman-attacked-by-suspected-herdsmen-needs-n60000-for-treatment/
,,"April 11, 2019",,"Abraka, Ethiope East Local Government Area of  Delta State",Tension in Delta community as suspected herdsmen kill farmers,https://punchng.com/tension-in-delta-community-as-suspected-herdsmen-kill-farmers/
,,"April 10, 2019",,Mmiata Anam in Anambra West Local Government Area,Anambra warns herdsmen against killings,https://punchng.com/anambra-warns-herdsmen-against-killings/
,,"April 9, 2019","April 6, 2019","Anambra West Local Government Area, Anambra State","Herdsmen attack: Army, police, others cordon off Anambra community",https://punchng.com/herdsmen-attack-army-police-others-cordon-off-anambra-community/
,,"April 4, 2019",,Logo Local Government Area of Benue State.,Suspected herdsmen kill five in Benue,https://punchng.com/suspected-herdsmen-kill-five-in-benue/
,,"March 29, 2019",,,Nigeria denied foreign loans over herdsmen/farmers’ clashes – Lai Mohammed,https://punchng.com/nigeria-denied-foreign-loans-over-herdsmen-farmers-clashes-lai-mohammed/
,," March 28, 2019","March 11, 2019",Catholic Diocese of Nsukka,Police nab four herdsmen for kidnapping Catholic priest,https://punchng.com/police-nab-four-herdsmen-for-kidnapping-catholic-priest/
,," March 22, 2019",,"Nnamdi Azikwe University, Awka, Anambra State.",Suspected herdsmen murder university lecturer in Enugu,https://punchng.com/suspected-herdsmen-murder-university-lecturer-in-enugu/
,," March 21, 2019","March 19, 2019",Tser Uoreleegeb in Ubabai council ward of Guma Local Government Area of Benue State.,Suspected herdsmen kill 10 in Benue,https://punchng.com/suspected-herdsmen-kill-10-in-benue/
,," March 4, 2019","March 2, 2019",Gwer West Local Government Area of Benue State,Suspected herdsmen kill 16 in fresh Benue attack,https://punchng.com/suspected-herdsmen-kill-16-in-fresh-benue-attack/
,,"February 21, 2019","February 20, 2019",Agatu community in Benue State,"Herdsmen attack Agatu community in Benue, kill 16",https://punchng.com/herdsmen-attack-agatu-community-in-benue-kill-16/
,," February 12, 2019",,,"Herdsmen killings in discourse as voters decide on Ortom, Jime",https://punchng.com/herdsmen-killings-in-discourse-as-voters-decide-on-ortom-jime/
,,"February 5, 2019",,"Iroko/Ijaye in Akinyele Local Government Area, Oyo State",Ex-UI staff alleges herdsmen set N50m farm on fire,https://punchng.com/ex-ui-staff-alleges-herdsmen-set-n50m-farm-on-fire/
,," January 21, 2019",,Numan Local Government Area of Adamawa State,"Suspected herdsmen burn down Catholic seminary, houses in Adamawa",https://punchng.com/suspected-herdsmen-burn-down-catholic-seminary-houses-in-adamawa/
,," January 18, 2019",,,FG moves to implement 1998 protocol to curb herdsmen killings,https://punchng.com/fg-moves-to-implement-1998-protocol-to-curb-herdsmen-killings/
,,"January 16, 2019",,,"Town Hall Meeting: Nigerians think you’re biased towards herdsmen because they’re your people, moderator tells Buhari",https://punchng.com/town-hall-meeting-nigerians-think-youre-biased-towards-herdsmen-because-theyre-your-people-moderator-tells-buhari/
,,"January 12, 2019",,,"We’ve curtailed herdsmen/farmers crisis in Adamawa, Taraba, 23 Brigade Commander claims",https://punchng.com/weve-curtailed-herdsmen-farmers-crisis-in-adamawa-taraba-23-brigade-commander-claims/
,,"January 11, 2019",,"Ogbaru Local Government Area, Anambra","Tension as herdsmen, cattle invade Anambra school",https://punchng.com/tension-as-herdsmen-cattle-invade-anambra-school/
,,"January 9, 2019",,,"Grazing law: 400 herdsmen arrested, 40 convicted, says Ortom",https://punchng.com/grazing-law-400-herdsmen-arrested-40-convicted-says-ortom/
,,"January 6, 2019",,,Herdsmen accuse Benue guards of killing 207 cows,https://punchng.com/herdsmen-accuse-benue-guards-of-killing-207-cows/
,,"January 6, 2019",,,Herdsmen accuse Benue guards of killing 207 cows,https://punchng.com/herdsmen-accuse-benue-guards-of-killing-207-cows/
,,"January 2, 2019",,"Guma Local Government Area, Benue",Suspected herdsmen set Ortom’s rice farm ablaze,https://punchng.com/suspected-herdsmen-set-ortoms-rice-farm-ablaze/
,,1-Jan-19,,,"New Year Prophecy: Farmers, herdsmen will cohabit without trouble —Enenche",https://punchng.com/new-year-prophecy-farmers-herdsmen-will-cohabit-without-trouble-enenche/
,,,,,,
,,"December 30, 2018",,,Fulani herdsmen moving into Benue returning home — Miyetti Allah,https://punchng.com/fulani-herdsmen-moving-into-benue-returning-home-miyetti-allah/
,,"December 29, 2018","December 24, 2019",Logo Local Government Area of Benue State,There is no hope for me and my seven children again – Wife of Benue man killed by suspected Fulani herdsmen on Christmas Eve,https://punchng.com/there-is-no-hope-for-me-and-my-seven-children-again-wife-of-benue-man-killed-by-suspected-fulani-herdsmen-on-christmas-eve/
,,"December 26, 2019","December 24, 2019",Gaambe-Tiev community in Logo Local Government Area of Benue State ,"Herdsmen sack Benue community, kill father of seven",https://punchng.com/herdsmen-sack-benue-community-kill-father-of-seven/
,,"December 21, 2018",,,"FG faults AI report on farmers, herdsmen’s killings",https://punchng.com/fg-faults-ai-report-on-farmers-herdsmens-killings/
,,"December 20, 2018",,"Guma, Makurdi, Logo and Katsina-Ala LGAs., Benue State","Herdsmen forced 60,000 pupils out of Benue schools –SUBEB",https://punchng.com/herdsmen-forced-60000-pupils-out-of-benue-schools-subeb/
,,"December 19, 2018",,,Killings by herdsmen will continue if Buhari is re-elected –Atiku,https://punchng.com/killings-by-herdsmen-will-continue-if-buhari-is-re-elected-atiku/
,,"December 18, 2018",,,"Herdsmen killings: AI blames FG for 3,641 deaths",https://punchng.com/herdsmen-killings-ai-blames-fg-for-3641-deaths/
,,"December 16, 2018",,"Guma, GwerWest and Logo Local Government Areas of Benue State ",Fear grips farmers as herdsmen’s cows graze around Benue communities,https://punchng.com/fear-grips-farmers-as-herdsmens-cows-graze-around-benue-communities/
,,"December 14, 2018",,Ayamelum Constituency in the Anambra State,My people can’t come for Christmas because of herdsmen – Anambra lawmaker,https://punchng.com/my-people-cant-come-for-christmas-because-of-herdsmen-anambra-lawmaker/
,,"December 14, 2018",,,"Herdsmen crisis: Pain, anger of orphans in IDP camps",https://punchng.com/herdsmen-crisis-pain-anger-of-orphans-in-idp-camps/
,,"December 7, 2018",,"Osun State College of Technology, Esa Oke",UPDATED: Fulani herdsmen release abducted OSCOTECH workers,https://punchng.com/breaking-fulani-herdsmen-release-abducted-oscotech-workers/
,,"December 7, 2018",,,"The Sultan, the Cardinal, and killer herdsmen",https://punchng.com/the-sultan-the-cardinal-and-killer-herdsmen/
,,"December 6, 2018","December 4, 2018","Akunnu, in the Akoko North Local Government Area of Ondo State.","Herdsmen collect N2.2m ransom from kidnapped Customs, NDLEA officers, others’ families",https://punchng.com/herdsmen-collect-n2-2m-ransom-from-kidnapped-customs-ndlea-officers-others-families/
,,"December 1, 2018",,,"No armed men in Sokoto, only Malian herdsmen, says Police",https://punchng.com/no-armed-men-in-sokoto-only-malian-herdsmen-says-police/
,,"December 1, 2018","Novemebr, 30, 2019","St. Ignatius Catholic Church, Mbalom","Fulani herdsmen invading Benue, says Ortom",https://punchng.com/fulani-herdsmen-invading-benue-says-ortom/
,,"November 30, 2018","May 6, 2018","Gwom Rwey of Gashish, Barkin Ladi Local Government Area, Plateau State",From palaces to shanties: How herdsmen crisis turned kings to refugees,https://punchng.com/from-palaces-to-shanties-how-herdsmen-crisis-turned-kings-to-refugees/
,,"November 24, 2018",,,"Benue govt behind herdsmen’s killings, says Akume",https://punchng.com/benue-govt-behind-herdsmens-killings-says-akume/
,,"November 22, 2018",,,"Stop carrying arms, Ekiti warns herdsmen",https://punchng.com/stop-carrying-arms-ekiti-warns-herdsmen/
,,"November 5, 2018",,,Prince Charles to address herdsmen attacks during Nigeria visit,https://punchng.com/prince-charles-to-address-herdsmen-attacks-during-nigeria-visit/
,,"November 4, 2018",,,Prince Charles to address herdsmen attacks during visit –Envoy,https://punchng.com/prince-charles-to-address-herdsmen-attacks-during-visit-envoy/
,,"October 31, 2018",,"Dubale Village of Lau Council, Taraba State",Armed herdsmen allegedly destroyed 750 hectares of rice farm in Taraba,https://punchng.com/armed-herdsmen-allegedly-destroyed-750-hectares-of-rice-farm-in-taraba/
,,"October 31, 2018",,"Dubale Village of Lau Council, Taraba State","Armed herdsmen allegedly occupy, destroy 750 hectares of firm’s rice farm in Taraba",https://punchng.com/armed-herdsmen-allegedly-occupy-destroy-750-hectares-of-firms-rice-farm-in-taraba/
,,"October 27, 2018",,Mbagwen community in Guma Local Government Area,"Herdsmen kill two, planning another attack –Benue gov",https://punchng.com/herdsmen-kill-two-planning-another-attack-benue-gov/
,,"October 26, 2018",,Mbagwen community in Guma Local Government Area,Benue govt raises alarm over herdsmen’s planned attack,https://punchng.com/benue-govt-raises-alarm-over-herdsmens-planned-attack/
,,"October 26, 2018",,,"Kebbi govt gets N1.5bn loan to boost herdsmen, fishermen’s activities",https://punchng.com/kebbi-govt-gets-n1-5bn-loan-to-boost-herdsmen-fishermens-activities/
,,"October 19, 2018",,,As Dan-Ali prepares to tackle Fulani herdsmen,https://punchng.com/as-dan-ali-prepares-to-tackle-fulani-herdsmen/
,,"October 16, 2018",,,Ortom seeks FG’s support for victims of herdsmen attacks,https://punchng.com/ortom-seeks-fgs-support-for-victims-of-herdsmen-attacks/
,,"October 13, 2018",,,"Fake news responsible for herdsmen, farmers’ crisis – Lai Mohammed",https://punchng.com/fake-news-responsible-for-herdsmen-farmers-crisis-lai-mohammed/
,,"October 12, 2018",,,Tinubu was mute when herdsmen attacked South West – Odumakin,https://punchng.com/tinubu-was-mute-when-herdsmen-attacked-swest-odumakin/
,,"October 12, 2018",,,‘Herdsmen attacked 19 of 23 Benue councils’,https://punchng.com/herdsmen-attacked-19-of-23-benue-councils/
,,"October 10, 2018",,,"Herdsmen attacks: Don’t play with people’s lives, Afenifere cautions Tinubu",https://punchng.com/herdsmen-attacks-dont-play-with-peoples-lives-afenifere-cautions-tinubu/
,,"October 9, 2018",,,"ICYMI: Herdsmen attacks: Don’t toy with people’s lives, Afenifere cautions Tinubu",https://punchng.com/herdsmen-attacks-dont-toy-with-peoples-lives-afenifere-cautions-tinubu/
,,"October 9, 2018",,,Tinubu says herdsmen crisis caused by water scarcity,https://punchng.com/tinubu-says-herdsmen-crisis-caused-by-water-scarcity/
,,"October 6, 2018","October 4, 2018",Nkiendoro village in Bassa Local Government Area of Plateau State,"Again, herdsmen attack Plateau, kill four, torch churches, houses",https://punchng.com/again-herdsmen-attack-plateau-kill-four-torch-churches-houses/
,,"October 5, 2018","October 4, 2018",Nkiendoro village in Bassa Local Government Area of Plateau State,"Plateau: Again, herdsmen kill four, burn 35 houses",https://punchng.com/plateau-again-herdsmen-kill-four-burn-35-houses/
,,"October 5, 2018","October 3, 2018",Ariri community in Bassa Local Government Area of Plateau State.,Herdsmen kill 19 in Plateau midnight attack,https://punchng.com/herdsmen-kill-19-in-plateau-midnight-attack/
,,"October 4, 2018","October 3, 2018",Ariri community in Bassa Local Government Area of Plateau State.,"ICYMI: Again, herdsmen kill 18 persons in Plateau midnight attack",https://punchng.com/breaking-again-herdsmen-kill-18-persons-in-plateau-midnight-attack/
,,"October 1, 2018",,,Buhari says efforts underway to end herdsmen-farmers’ clashes,https://punchng.com/buhari-says-efforts-underway-to-end-herdsmen-farmers-clashes/
,,"October 1, 2018",,,"FG must intensify fight against Boko Haram, herdsmen –Ortom",https://punchng.com/fg-must-intensify-fight-against-bharam-herdsmen-ortom/
,,"September 25, 2018",,,Benue farmers lose N25bn to herdsmen attacks,https://punchng.com/benue-farmers-lose-n25bn-to-herdsmen-attacks/
,,"September 24, 2018",,,"Atiku gives reason for Fulani herdsmen, Tiv farmers crisis",https://punchng.com/atiku-gives-reason-for-fulani-herdsmen-tiv-farmers-crisis/
,,"September 18, 2018",,Guri Local Government Area of Jigawa,"Disarm herdsmen in Jigawa, Fulani chief urges FG",https://punchng.com/disarm-herdsmen-in-jigawa-fulani-chief-urges-fg/
,," September 17, 2018",,,"Herdsmen terrorism: We need action, not committees",https://punchng.com/herdsmen-terrorism-we-need-action-not-committees/
,,"September 17, 2018","September 15, 2018",Bawa Garki Village in the Lau Local Government Area of Taraba State,"Herdsmen raze Taraba village, kill three",https://punchng.com/herdsmen-raze-taraba-village-kill-three/
,,"September 17, 2018","September 15, 2018",Bawa Garki Village in the Lau Local Government Area of Taraba State,"Herdsmen raze Taraba village, kill three",https://punchng.com/herdsmen-raze-taraba-village-kill-three/
,,"September 16, 2018",,"Gon, Nzumosu, Bolki, Nyanga and Bukuto, Numan Local Government Area, Adamawa State",27 buried after Adamawa herdsmen attacks,https://punchng.com/27-buried-after-adamawa-herdsmen-attacks/
,,"September 15, 2018",," Makurdi, Gwer West, Guma, Logo and Kwande.","Herdsmen sacked five Benue LGAs, killed 560 in eight months –Ortom",https://punchng.com/herdsmen-sacked-five-benue-lgas-killed-560-in-eight-months-ortom/
,,"September 12, 2018","August 28, 2018",Ilorin-Ogbomosho highway,Court remands two herdsmen for alleged robbery,https://punchng.com/court-remands-two-herdsmen-for-alleged-robbery/
,,"September 12, 2018",,,FG to probe foreign involvement in herdsmen killings,https://punchng.com/fg-to-probe-foreign-involvement-in-herdsmen-killings/
,,"September 10, 2018",,Mararaba Udege in the Nasarawa Toto Local Government Area of Nasarawa state,Al-Makura supports families of policemen slain by herdsmen,https://punchng.com/al-makura-supports-families-of-policemen-slain-by-herdsmen/
,,"September 8, 2018","September 7, 2018",Bujum Kusawa Village under the Lau Local Government Area of the state,"Herdsmen kill three cops, two others in Taraba",https://punchng.com/herdsmen-kill-three-cops-two-others-in-taraba/
,,"September 8, 2018",,,Benue has lost N400bn to herdsmen attacks –Ortom,https://punchng.com/benue-has-lost-n400bn-to-herdsmen-attacks-ortom/
,,"September 7, 2018",,Barkin Ladi Local Government Area of Plateau State,CAN kicks as herdsmen kill seven in Plateau,https://punchng.com/can-kicks-as-herdsmen-kill-seven-in-plateau/
,,"September 7, 2018","August 29, 2018","Numan Local Government Area, Adamawa State","Herdsmen behead Adamawa PDP chairman, flee with head",https://punchng.com/herdsmen-behead-adamawa-pdp-chairman-flee-with-head/
,,"September 6, 2018",,,"Herdsmen: Plateau hastens law to try killers, sponsors",https://punchng.com/herdsmen-plateau-hastens-law-to-try-killers-sponsors/
,,"September 5, 2018",,,Police grill Fani-Kayode over anti-Fulani herdsmen article,https://punchng.com/police-grill-fani-kayode-over-anti-fulani-herdsmen-article/
,,"September 4, 2018","September 1, 2018",Jos South and Bassa Local Government Areas of Plateau State,14 die as suspected herdsmen attack Plateau again,https://punchng.com/14-die-as-suspected-herdsmen-attack-plateau-again/
,,"September 1, 2018",,,Herdsmen killed 50 security operatives in Benue in eight months –Ortom,https://punchng.com/herdsmen-killed-50-security-operatives-in-benue-in-eight-months-ortom/
,,"August 30, 2018",,Barkin Ladi Local Government area of Plateau State,"Suspected herdsmen attack Plateau, kill pastor, wife, three children",https://punchng.com/suspected-herdsmen-attack-plateau-kill-pastor-wife-three-children/
,,"August 29, 2018",,,"We left APC due to herdsmen killings, says Benue Rep",https://punchng.com/we-left-apc-due-to-herdsmen-killings-says-benue-rep/
,,"August 28, 2018",,,Who are the sponsors of herdsmen’s killings in Nigeria?,https://punchng.com/who-are-the-sponsors-of-herdsmens-killings-in-nigeria/
,,"August 28, 2018",,,"Dairy farming’ll curb farmers, herdsmen clashes, says Buhari",https://punchng.com/dairy-farmingll-curb-farmers-herdsmen-clashes-says-buhari/
,," August 26, 2018",,,Idahosa condemns farmers/herdsmen clashes,https://punchng.com/idahosa-condemns-farmersherdsmen-clashes/
,,"August 25, 2018",,Makurdi-Lafia highway,"Herdsmen planning to kill me, Ortom cries out",https://punchng.com/herdsmen-planning-to-kill-me-ortom-cries-out/
,,"August 24, 2018",,,"Herdsmen are planning to kill me, Ortom alleges",https://punchng.com/herdsmen-are-planning-to-kill-me-ortom-alleges/
,,"August 21, 2018","August 18, 2018",Guma Local Government Area of Benue State.,Troops killed 21 armed herdsmen in Benue –Military,https://punchng.com/troops-killed-21-armed-herdsmen-in-benue-military/
,,"August 20, 2018","August 18, 2018",Gbamjimba-Akor-Tomata in Guma Local Government Area of Benue state,Troops killed 21 herdsmen in Benue,https://punchng.com/troops-killed-21-herdsmen-in-benue/
,,"August 20, 2018",,,Ending the savagery of Fulani herdsmen,https://punchng.com/ending-the-savagery-of-fulani-herdsmen/
,,"August 19, 2018","August 18, 2018",Guma Local Government Area of Benue State,"Soldiers, herdsmen in gun duel in Benue",https://punchng.com/soldiers-herdsmen-in-gun-duel-in-benue/
,,"August 15, 2018",,,"Stop using minors as cattle rearers, Fulani leader tells herdsmen",https://punchng.com/fulani-leader-urges-herdsmen-to-stop-using-minors-as-cattle-rearers/
,,"August 6, 2018",,Guma Local Government Area of Benue State,PHOTOS: Soldiers raze camps of alleged armed herdsmen in Benue,https://punchng.com/photos-soldiers-raze-camps-of-alleged-armed-herdsmen-in-benue/
,,"August 5, 2018","August 3, 2018","Zanwra area of Jebbu Miango, Bassa Local Government Area of Plateau State","Again, herdsmen attack Plateau, Taraba villages, kill 8",https://punchng.com/again-herdsmen-attack-plateau-taraba-villages-kill-8/
,,"August 5, 2018",,,"Armed herdsmen returning to Benue, planning fresh mayhem – Ortom",https://punchng.com/armed-herdsmen-returning-to-benue-planning-fresh-mayhem-ortom/
,,"August 4, 2018",,,"Killings: Buhari should warn Fulani herdsmen, says cleric",https://punchng.com/killings-buhari-should-warn-fulani-herdsmen-says-cleric/
,,"August 2, 2018",,,"Boko Haram, herdsmen’s violence: Red Cross searching for 17,000 Nigerians",https://punchng.com/bharam-herdsmens-violence-red-cross-searching-for-17000-nigerians/
,,"August 2, 2018","July, 21, 2019",Owan East Local Government Area of Edo.,Suspected herdsmen attack Edo farmer,https://punchng.com/suspected-herdsmen-attack-edo-farmer/
,,"August 1, 2018",,,Herdsmen killings: Plateau approves bill to prosecute suspects in Jos,https://punchng.com/herdsmen-killings-plateau-approves-bill-to-prosecute-suspects-in-jos/
,,"July 15, 2018",,,Agbekoya tackles AFAN boss on farmers/herdsmen talks,https://punchng.com/agbekoya-tackles-afan-boss-on-farmersherdsmen-talks/
,,"July 14, 2018",,,"Nigerian elite responsible for arming some herdsmen –Ibrahim, AFAN President",https://punchng.com/nigerian-elite-responsible-for-arming-some-herdsmen-ibrahim-afan-president/
,,"July 12, 2018","July 8, 2018",Lau Local Government Area of Taraba State,"Suspected herdsmen kill 42, sack 12 Taraba villages",https://punchng.com/suspected-herdsmen-kill-42-sack-12-taraba-villages/
,,"July 10, 2018",,,FG should educate herdsmen before creating ranches – Oluwo,https://punchng.com/fg-should-educate-herdsmen-before-creating-ranches-oluwo/
,,"July 10, 2018",,,Igbo groups team up against herdsmen invasion,https://punchng.com/igbo-groups-team-up-against-herdsmen-invasion/
,," July 9, 2018",,,"Southern, Middle Belt leaders, Danjuma meet over herdsmen killings",https://punchng.com/smblf-danjuma-meet-over-herdsmen-killings/
,," July 8, 2018",,,Herdsmen attacks: We have evidence politicians are behind the killings —Presidency,https://punchng.com/herdsmen-attacks-we-have-evidence-politicians-are-behind-the-killings-presidency/
,," July 8, 2018",,,Food prices soar as herdsmen killings hamper farming,https://punchng.com/food-prices-soar-as-herdsmen-killings-hamper-farming/
,,"July 8, 2018",,,Herdsmen killings : We’ve evidence of politicians’ involvement – Presidency,https://punchng.com/weve-evidence-of-politicians-involvement-in-herdsmens-killings-presidency/
,,"July 6, 2018",,,"Killer herdsmen: Defend South-West, Okurounmu, Akintoye tell govs",https://punchng.com/killer-herdsmen-defend-swest-okurounmu-akintoye-tell-govs/
,,"July 6, 2018",,,Herdsmen killings: Plateau bans public procession,https://punchng.com/herdsmen-killings-plateau-bans-public-procession/
,,"July 5, 2018","June 26, 2018",Keana Local Government Area of Nasarawa State,"Herdsmen kill two soldiers, injure Commander in Nasarawa – DHQ",https://punchng.com/herdsmen-kill-two-soldiers-injure-commander-in-nasarawa-dhq/
,,"July 4, 2018",,,Two herdsmen allegedly kill colleague over a mobile phone,https://punchng.com/two-herdsmen-allegedly-kill-colleague-over-a-mobile-phone/
,,"July 4, 2018",,,"Herdsmen attacks: Should the IG, service chiefs retain their jobs?",https://punchng.com/herdsmen-attacks-should-the-ig-service-chiefs-retain-their-jobs/
,," July 1, 2018","June 30, 2018","Kangan South Local Government Area, Plateau State","Herdsmen kill guard, steal nine cows in Plateau",https://punchng.com/herdsmen-kill-guard-steal-nine-cows-in-plateau/
,,"July 1, 2018",,Demsa Local Government Area of Adamawa State,Herdsmen served farmers notice to quit —Adamawa monarch,https://punchng.com/herdsmen-served-farmers-notice-to-quit-adamawa-monarch/
,,"June 30, 2018",,,ICYMI: Miyetti Allah slams Fulani lawmakers for failing to protect herdsmen,https://punchng.com/miyetti-allah-slams-fulani-lawmakers-for-failing-to-protect-herdsmen/
,,"June 30, 2018",,"Kangan South Local Government Area, Plateau State",One killed as herdsmen steal nine cows in Plateau,https://punchng.com/one-killed-as-herdsmen-steal-nine-cows-in-plateau/
,," June 28, 2018",,Keana Local Government Area of Nasarawa State,"Six herdsmen, 150 cows killed in Nasarawa —Police",https://punchng.com/six-herdsmen-150-cows-killed-in-nasarawa-police/
,,"June 28, 2018",,,Buhari treating killer herdsmen with kid gloves —Soyinka,https://punchng.com/buhari-treating-killer-herdsmen-with-kid-gloves-soyinka/
,,"June 28, 2018",,,Voting APC is inviting killer herdsmen to Ekiti – Fayose,https://punchng.com/voting-apc-is-inviting-killer-herdsmen-to-ekiti-fayose/
,," June 28, 2018",,Numan Local Government of Adamawa State,"Herdsmen kill two, injure 29 in Adamawa",https://punchng.com/herdsmen-kill-two-injure-29-in-adamawa/
,,"June 27, 2018",,,"Make killer herdsmen pay for their crimes, Soyinka tells Buhari",https://punchng.com/make-killer-herdsmen-pay-for-their-crimes-soyinka-tells-buhari/
,,"June 27, 2018",,,It’s unjust to say I’m silent on killings by herdsmen – Buhari,https://punchng.com/its-unjust-to-say-im-silent-on-killings-by-herdsmen-buhari/
,," June 26, 2018",,,"Plateau killing: Makarfi condemns herdsmen attack, sues for peace",https://punchng.com/plateau-killing-makarfi-condemns-herdsmen-attack-sues-for-peace/
,,"June 25, 2018",,,"Benue, Plateau killers may not be herdsmen – NHRC",https://punchng.com/benue-plateau-killers-may-not-be-herdsmen-nhrc/
,,"June 25, 2018",,,ICYMI: N70bn livestock ranches not for Fulani herdsmen alone – FG,https://punchng.com/n70bn-livestock-ranches-not-for-fulani-herdsmen-alone-fg/
,,"June 25, 2018","June 24, 2018",Plateau State,"Herdsmen attack 11 Plateau villages, kill 86, torch 50 houses",https://punchng.com/herdsmen-attack-11-plateau-villages-kill-86-torch-50-houses/
,,"June 24, 2018",,"Riyom, Barkin Ladi and Jos South Local Government Areas",Plateau imposes curfew as Fulani herdsmen attack 11 villages,https://punchng.com/breaking-plateau-imposes-curfew-as-fulani-herdsmen-allegedly-kill-200-in-11-villages/
,,"June 24, 2018","June 22, 2018","Dowaya, Demsa Local Government Area of Adamawa State",21 feared killed in Adamawa herdsmen attack,https://punchng.com/21-feared-killed-in-adamawa-herdsmen-attack/
,,"June 23, 2018",,,"Proposed ranches, ploy to grab land for Fulani herdsmen – Christian elders",https://punchng.com/proposed-ranches-ploy-to-grab-land-for-fulani-herdsmen-christian-elders/
,," June 22, 2018",,,FG’s wrong-headed solution to herdsmen’s terrorism,https://punchng.com/fgs-wrong-headed-solution-to-herdsmens-terrorism/
,,"June 19, 2018",,,Attack on herdsmen: CAN pleads for convicted youths,https://punchng.com/attack-on-herdsmen-can-pleads-for-convicted-youths/
,," June 17, 2018",,,"Politicians’ thugs kill people, label killers herdsmen – Defence spokesman",https://punchng.com/politicians-thugs-kill-people-label-killers-herdsmen-defence-spokesman/
,,"June 16, 2018","June 10, 2018",Osun State,"Herdsmen release kidnapped Methodist priest, others",https://punchng.com/herdsmen-release-kidnapped-methodist-priest-others/
